,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-09-12T00:00:00.000000000],0.83,0.17,0.579,0.949,0.071,0.018,6.0,85.0,1.29
r_t[2020-09-13T00:00:00.000000000],0.83,0.17,0.579,0.949,0.071,0.018,6.0,85.0,1.29
r_t[2020-09-14T00:00:00.000000000],0.833,0.175,0.575,0.958,0.075,0.018,6.0,71.0,1.32
r_t[2020-09-15T00:00:00.000000000],0.833,0.175,0.575,0.958,0.075,0.018,6.0,71.0,1.32
r_t[2020-09-16T00:00:00.000000000],0.833,0.175,0.575,0.958,0.075,0.018,6.0,71.0,1.32
r_t[2020-09-17T00:00:00.000000000],0.837,0.18,0.592,0.992,0.077,0.019,6.0,59.0,1.29
r_t[2020-09-18T00:00:00.000000000],0.837,0.18,0.592,0.992,0.077,0.019,6.0,59.0,1.29
r_t[2020-09-19T00:00:00.000000000],0.837,0.18,0.592,0.992,0.077,0.019,6.0,59.0,1.29
r_t[2020-09-20T00:00:00.000000000],0.839,0.185,0.58,0.992,0.079,0.018,6.0,58.0,1.31
r_t[2020-09-21T00:00:00.000000000],0.839,0.185,0.58,0.992,0.079,0.018,6.0,58.0,1.31
r_t[2020-09-22T00:00:00.000000000],0.839,0.185,0.58,0.992,0.079,0.018,6.0,58.0,1.31
